mask_based_eccentricity_MHCII,dissimilarity_P-CD3zeta,mean_intensity_P-CD3zeta,mean_intensity_ratio_F-Actin_R5_R7,mean_intensity_ratio_MHCII_R5_R7,condition,key,object_number
1.0,0.27021413505910336,0.36175858800478666,0.7486334248212579,0.4888564156959349,CD19-TCB,Experiment_3 Donor_1,208439
0.6185653287882751,0.7840619080583199,0.5150288677598124,0.0,0.0,CD19-TCB,Experiment_3 Donor_1,197144
0.9971218408090663,0.04570291937166074,0.9316144132982648,0.5964079145283273,0.16626658022515822,CD19-TCB,Experiment_3 Donor_1,198814
0.9550568001917256,0.5229723399318015,0.5236304851165082,0.1239265033436791,0.08599910087401105,CD19-TCB,Experiment_3 Donor_1,219248
0.5246530987627795,0.9969895609774744,0.001494872077163533,1.0,0.9221745577066286,CD19-TCB,Experiment_3 Donor_1,186928
0.4358479837504999,0.24729443738259224,0.38152145182179553,0.8678106034595646,0.3169669650228719,CD19-TCB,Experiment_3 Donor_1,212257
0.061810215494181975,1.0,0.43369671029406726,0.30283055883751026,0.13443009535390774,CD19-TCB,Experiment_3 Donor_1,192334
0.0455803704787024,0.28432713099988816,0.8719451263243233,0.1043103172023707,0.1860560830521782,CD19-TCB,Experiment_3 Donor_1,191028
0.8197607288200391,0.1446029249950511,0.9736272656016861,0.38850551589778126,0.2666525767191571,CD19-TCB,Experiment_3 Donor_1,193046
0.8881879296318372,0.0669330713342265,0.37959451846093134,0.25712534333332243,0.2600412375200917,CD19-TCB,Experiment_3 Donor_1,205678
1.0,0.49208625375900755,0.6409444754645643,0.37293053786166747,1.0,CD19-TCB,Experiment_3 Donor_1,219750
0.7275257781958174,0.5066766180310203,0.29627222300297834,0.22164060504382577,0.1271558381940585,CD19-TCB,Experiment_3 Donor_1,165843
0.9075486784236659,0.5992722911786755,0.5476352669141437,0.45782311775893453,0.27552886936591175,CD19-TCB,Experiment_3 Donor_1,196893
0.0,0.663633017210384,0.3835312440486263,0.482791218868749,0.4182695391192409,CD19-TCB,Experiment_3 Donor_1,206883
0.8507007894014856,0.37852936373836504,0.22468884829355631,0.31647652564243994,0.519352592514637,CD19-TCB,Experiment_3 Donor_1,214053
0.3379334023717498,0.7268530356036079,0.20644938703601795,0.10557427066681643,0.07168505139599209,CD19-TCB,Experiment_3 Donor_1,208803
0.49068984395998605,0.7497710128369506,0.6149738853365665,0.7973647489837165,0.7632681308423945,CD19-TCB,Experiment_3 Donor_1,217231
0.8718983018806098,0.5753070802226756,0.9869249128944472,0.647715283889938,0.2679294737893736,CD19-TCB,Experiment_3 Donor_1,191951
0.30406342335477093,0.6625841823330064,0.31086728034296396,0.7943917369748261,0.5953024421886777,CD19-TCB,Experiment_3 Donor_1,171684
0.33861491692116336,0.6156198659459181,0.7227333793594477,0.10867285665685346,0.07663710687207528,CD19-TCB,Experiment_3 Donor_1,177100
0.8510478193383415,0.4361955149568339,0.6078884371087407,0.46603105064721273,0.2588677203366216,CD19-TCB,Experiment_3 Donor_1,177817
0.462082904366554,0.450900068151088,0.4123803452617004,0.05950105773767641,0.07068007987144974,CD19-TCB,Experiment_3 Donor_1,168204
0.4978311539530438,0.39954180161013586,0.15103190909943032,0.3387969266825504,0.2926931718080449,CD19-TCB,Experiment_3 Donor_1,196607
0.6715306863944451,0.403234558102648,0.5802334639967004,0.0,0.0,CD19-TCB,Experiment_3 Donor_1,172653
