contrast_P-CD3zeta,manders_overlap_coefficient_R4_F-Actin_R7_P-CD3zeta,mean_intensity_P-CD3zeta,max_intensity_ratio_P-CD3zeta_R5_R7,mean_intensity_F-Actin,condition,key,object_number
0.7326718720527585,0.0,1.0,1.0,0.5321932728214502,Isotype,Experiment_1 Donor_1,218345
0.0,0.7738673507662303,0.2928391905332917,0.257675836487675,0.11368224441978911,Isotype,Experiment_1 Donor_1,201392
0.6502597626135889,0.20192744089594075,0.03761818162657635,0.2137440689195586,0.7320869246986849,Isotype,Experiment_1 Donor_1,217996
0.07991389513254134,0.5560516304690517,0.3687192808041837,0.41408317873301426,0.2697846912414549,Isotype,Experiment_1 Donor_1,230690
0.21585326284441828,0.18979312671849802,0.5888113249661195,0.23361528700995182,0.6955507756416648,Isotype,Experiment_1 Donor_1,219846
0.033633826733608804,0.2391711303142001,0.7456620050129192,0.7087283134352994,0.5223972264181692,Isotype,Experiment_1 Donor_1,229223
0.17481902210119712,0.4307432890766599,0.15019989572992928,0.17216184807788548,0.34987163479096756,Isotype,Experiment_1 Donor_1,228264
0.3516459165955167,0.48142763803574357,0.0,0.14670313178017041,0.46224390192036885,Isotype,Experiment_1 Donor_1,181697
0.3098286181707366,0.2908426905879177,1.0,0.3989009021016455,0.41609089798764337,Isotype,Experiment_1 Donor_1,227479
0.21515315535093474,0.0,0.13934405096772873,0.36589585594206203,1.0,Isotype,Experiment_1 Donor_1,206002
0.6685409099283041,0.2549232240679017,1.0,0.36183187175418685,0.35185026130407,Isotype,Experiment_1 Donor_1,202359
0.2616610717863464,0.28185538015766465,0.5476711016518725,0.23760783289973955,0.48676223490371134,Isotype,Experiment_1 Donor_1,221215
0.2377039107021239,0.1983197152967468,0.35492935776535117,0.06480065356814863,0.7068352492317636,Isotype,Experiment_1 Donor_1,198608
0.5579095641461184,0.4413586621895893,0.3207525567330698,0.15540838025921608,0.3458499630210866,Isotype,Experiment_1 Donor_1,239973
0.9499439891258495,0.0,0.9581938564390167,0.6803465761756989,1.0,Isotype,Experiment_1 Donor_1,215117
0.21305158315613298,0.39304957462579565,0.1840691748544237,0.3015525397459429,0.41127745959181666,Isotype,Experiment_1 Donor_1,207113
0.34221815320363363,0.40220739471919253,0.3750718545518074,0.44373619295856204,0.3070953408314337,Isotype,Experiment_1 Donor_1,187045
0.06818882163004507,0.6201119191084691,0.15156575717076368,0.19032547241533393,0.2603776998947023,Isotype,Experiment_1 Donor_1,237269
0.2917808506232917,0.3771558513422288,1.0,1.0,0.10627538029781035,Isotype,Experiment_1 Donor_1,232031
0.26154638330143737,0.694243839378282,0.6889688752324703,0.11017844314186977,0.07977900500496468,Isotype,Experiment_1 Donor_1,234781
0.18765037074064864,0.3946212666130458,0.4728800176960463,0.2770689479215833,0.3858967435388038,Isotype,Experiment_1 Donor_1,223757
0.14012517680834674,0.7321240242344815,0.18681734747362383,0.17468616805092604,0.1553583454768501,Isotype,Experiment_1 Donor_1,204392
0.005140555756843506,0.5863608329373496,0.16687960289888018,0.12278933964618699,0.23175691419947103,Isotype,Experiment_1 Donor_1,219086
0.2309577918494088,0.04822956052700568,0.48715405987094634,0.3190108926407782,0.8057406918416159,Isotype,Experiment_1 Donor_1,215114
0.5697497943650964,0.6427103975083742,0.005856149323056604,0.10959085281479874,0.2028724746287102,Isotype,Experiment_1 Donor_1,212138
0.2689456757239596,0.2233651324640307,0.9329867283368836,1.0,0.44053954621661884,Isotype,Experiment_1 Donor_1,205824
0.0,0.34707428578594546,0.0,0.3143572512605855,0.48827092399973926,Isotype,Experiment_1 Donor_1,199032
0.41197535826446735,0.35875870901868057,0.22754836511974796,0.1945956312448031,0.4342553256171128,Isotype,Experiment_1 Donor_1,197865
0.10284777465772262,0.6848377967757024,0.09072050428693645,0.259953717416139,0.1450083040417923,Isotype,Experiment_1 Donor_1,201730
0.0,0.6508254434915312,0.35650684791485887,0.25941027020589924,0.18504764644124228,Isotype,Experiment_1 Donor_1,198837
